date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:40	83968/83968	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:21%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img1.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img1.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:41	30932/30932	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:21%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img3.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img3.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:41	127340/127340	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:20%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img2.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/big/img2.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:42	41000/41000	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:47%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/1.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/1.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:45	35358/35358	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:47%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/2.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/2.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:46	77693/77693	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:48%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/3.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/3.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:47	74766/74766	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:36%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/profile.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/profile.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:48	71826/71826	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:48%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/4.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/4.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:48	9020/9020	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Feb%202018%2012:27:17%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/background/user-info.jpg	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/background/user-info.jpg	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:48	6734/6734	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Feb%202018%2012:27:54%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/assets/images/users/profile.png	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/assets/images/users/profile.png	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:50	40377/40377	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Jun%202018%2003:12:49%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/login.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/login.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:52	93860/93860	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:17%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/index2.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/index2.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:53	95430/95430	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:18%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/index3.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/index3.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:54	82343/82343	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:18%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/index4.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/index4.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:54	104617/104617	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:19%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/index5.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/index5.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:54	84929/84929	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:20%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/index6.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/index6.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:55	63191/63191	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:51%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-calendar.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-calendar.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:55	65638/65638	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:52%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-chat.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-chat.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:55	90249/90249	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:55%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-ticket.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-ticket.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:56	87806/87806	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:53%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-contact.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-contact.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:56	70804/70804	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:53%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-contact2.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-contact2.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:56	74550/74550	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:54%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-contact-detail.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-contact-detail.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:57	82535/82535	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:54%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-email.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-email.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:57	66554/66554	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:55%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-email-detail.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-email-detail.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:57	61450/61450	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:52%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/app-compose.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/app-compose.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:58	94262/94262	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:39%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-cards.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-cards.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:58	72096/72096	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:49%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-user-card.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-user-card.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:58	143546/143546	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:37%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-buttons.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-buttons.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:58	69291/69291	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:42%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-modals.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-modals.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:59	85484/85484	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:46%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-tab.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-tab.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:12:59	60104/60104	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:47%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-tooltip-popover.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-tooltip-popover.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:00	74788/74788	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:48%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-tooltip-stylish.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-tooltip-stylish.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:00	60379/60379	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:46%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-sweetalert.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:00	67756/67756	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:43%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-notification.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-notification.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:01	67709/67709	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:42%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-nestable.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-nestable.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:01	78501/78501	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:43%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-progressbar.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-progressbar.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:03	61246/61246	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:44%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-range-slider.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:04	64025/64025	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:47%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-timeline.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-timeline.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:05	70648/70648	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:49%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-typography.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-typography.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:06	71377/71377	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:41%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-horizontal-timeline.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-horizontal-timeline.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:06	57627/57627	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:45%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-session-timeout.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-session-timeout.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:06	59508/59508	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:45%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-session-ideal-timeout.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-session-ideal-timeout.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:07	90602/90602	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:35%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-bootstrap.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-bootstrap.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:07	60396/60396	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:36%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-breadcrumb.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-breadcrumb.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:08	64718/64718	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:36%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-bootstrap-switch.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-bootstrap-switch.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:08	71783/71783	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:41%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-list-media.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:08	69642/69642	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:44%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-ribbons.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-ribbons.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:09	69781/69781	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:40%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-grid.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-grid.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:10	58986/58986	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:39%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-date-paginator.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-date-paginator.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:10	71555/71555	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:38%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-carousel.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-carousel.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:11	61251/61251	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:32:40%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/ui-dragable-portlet.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/ui-dragable-portlet.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:12	153059/153059	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:01%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/form-basic.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/form-basic.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:14	113120/113120	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Jun%202018%2004:53:45%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/form-addons.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:15	123823/123823	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:04%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/form-layout.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/form-layout.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
10:13:17	67160/67160	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20May%202018%2011:33:05%20GMT	https://wrappixel.com/demos/admin-templates/material-pro/material/form-material.html	C:/My%20Web%20Sites/MATERIAL%20PRO%20WRAP%20PIXEL/wrappixel.com/demos/admin-templates/material-pro/material/form-material.html	(from https://wrappixel.com/demos/admin-templates/material-pro/material/)
